"id","name","raw_file_name","pathogen_genus","pathogen_species","pathogen_strain","pathogen_strain_type","Sample","file_batch","project_name"
50,"OMNS40","OMNS40","Staphylococcus","aureus",NA,"Friend","OMNS40",1,"Hess OmniScreen Lung Cells"
80,"OMNS215","OMNS215","Klebsiella","pneumoniae",NA,"Foe","OMNS215",1,"Hess OmniScreen Lung Cells"
74,"OMNS209","OMNS209","Enterococcus","faecalis","OG1RF","Foe","OMNS209",1,"Hess OmniScreen Lung Cells"
57,"OMNS71","OMNS71","Staphylococcus","epidermidis",NA,"Friend","OMNS71",1,"Hess OmniScreen Lung Cells"
56,"OMNS70","OMNS70","Staphylococcus","epidermidis",NA,"Friend","OMNS70",1,"Hess OmniScreen Lung Cells"
70,"OMNS114","OMNS114","Staphylococcus","aureus",NA,"Friend","OMNS114",1,"Hess OmniScreen Lung Cells"
76,"OMNS211","OMNS211","Enterococcus","faecalis","OG1RF","Foe","OMNS211",1,"Hess OmniScreen Lung Cells"
52,"OMNS42","OMNS42","Staphylococcus","aureus",NA,"Friend","OMNS42",1,"Hess OmniScreen Lung Cells"
69,"OMNS113","OMNS113","Staphylococcus","aureus",NA,"Friend","OMNS113",1,"Hess OmniScreen Lung Cells"
60,"OMNS77","OMNS77","Staphylococcus","aureus",NA,"Friend","OMNS77",1,"Hess OmniScreen Lung Cells"
51,"OMNS41","OMNS41","Staphylococcus","aureus",NA,"Friend","OMNS41",1,"Hess OmniScreen Lung Cells"
65,"OMNS106","OMNS106","Staphylococcus","epidermidis",NA,"Friend","OMNS106",1,"Hess OmniScreen Lung Cells"
58,"OMNS72","OMNS72","Staphylococcus","epidermidis",NA,"Friend","OMNS72",1,"Hess OmniScreen Lung Cells"
48,"OMNS35","OMNS35","Staphylococcus","epidermidis",NA,"Friend","OMNS35",1,"Hess OmniScreen Lung Cells"
77,"OMNS212","OMNS212","Acinetobacter","Baumannii","5075","Foe","OMNS212",1,"Hess OmniScreen Lung Cells"
78,"OMNS213","OMNS213","Acinetobacter","Baumannii","5075","Foe","OMNS213",1,"Hess OmniScreen Lung Cells"
73,"OMNS208","OMNS208","Acinetobacter","baylyi",NA,"Foe","OMNS208",1,"Hess OmniScreen Lung Cells"
68,"OMNS112","OMNS112","Staphylococcus","aureus",NA,"Friend","OMNS112",1,"Hess OmniScreen Lung Cells"
61,"OMNS78","OMNS78","Staphylococcus","aureus",NA,"Friend","OMNS78",1,"Hess OmniScreen Lung Cells"
66,"OMNS107","OMNS107","Staphylococcus","epidermidis",NA,"Friend","OMNS107",1,"Hess OmniScreen Lung Cells"
62,"OMNS100","OMNS100","Pseudomonas","aeruginosa",NA,"Foe","OMNS100",1,"Hess OmniScreen Lung Cells"
47,"OMNS34","OMNS34","Staphylococcus","epidermidis",NA,"Friend","OMNS34",1,"Hess OmniScreen Lung Cells"
75,"OMNS210","OMNS210","Enterococcus","faecalis","OG1RF","Foe","OMNS210",1,"Hess OmniScreen Lung Cells"
71,"OMNS206","OMNS206","Acinetobacter","baylyi",NA,"Foe","OMNS206",1,"Hess OmniScreen Lung Cells"
79,"OMNS214","OMNS214","Acinetobacter","Baumannii","5075","Foe","OMNS214",1,"Hess OmniScreen Lung Cells"
63,"OMNS101","OMNS101","Pseudomonas","aeruginosa",NA,"Foe","OMNS101",1,"Hess OmniScreen Lung Cells"
49,"OMNS36","OMNS36","Staphylococcus","epidermidis",NA,"Friend","OMNS36",1,"Hess OmniScreen Lung Cells"
54,"OMNS65","OMNS65","Pseudomonas","aeruginosa",NA,"Foe","OMNS65",1,"Hess OmniScreen Lung Cells"
67,"OMNS108","OMNS108","Staphylococcus","epidermidis",NA,"Friend","OMNS108",1,"Hess OmniScreen Lung Cells"
72,"OMNS207","OMNS207","Acinetobacter","baylyi",NA,"Foe","OMNS207",1,"Hess OmniScreen Lung Cells"
46,"OMNS30","OMNS30","Pseudomonas","aeruginosa",NA,"Foe","OMNS30",1,"Hess OmniScreen Lung Cells"
81,"OMNS216","OMNS216","Klebsiella","pneumoniae",NA,"Foe","OMNS216",1,"Hess OmniScreen Lung Cells"
64,"OMNS102","OMNS102","Pseudomonas","aeruginosa",NA,"Foe","OMNS102",1,"Hess OmniScreen Lung Cells"
55,"OMNS66","OMNS66","Pseudomonas","aeruginosa",NA,"Foe","OMNS66",1,"Hess OmniScreen Lung Cells"
44,"OMNS28","OMNS28","Pseudomonas","aeruginosa",NA,"Foe","OMNS28",1,"Hess OmniScreen Lung Cells"
82,"OMNS217","OMNS217","Klebsiella","pneumoniae",NA,"Foe","OMNS217",1,"Hess OmniScreen Lung Cells"
45,"OMNS29","OMNS29","Pseudomonas","aeruginosa",NA,"Foe","OMNS29",1,"Hess OmniScreen Lung Cells"
